
Source node,  Dest node,   traffic,  Optical Reach,  Modulation Format,  OSNR,  num Hops,    Q_margin
8	, 3	,      334.000	,      480.000	, 12	,       21.217	, 6	,        2.000	 

17	, 26	,      478.000	,     2480.000	, 4	,       13.835	, 31	,        1.000	 

25	, 8	,      705.000	,     2480.000	, 4	,       13.835	, 31	,        2.000	 

10	, 35	,      961.000	,     3520.000	, 4	,       12.184	, 44	,        0.000	 

34	, 16	,      827.000	,      400.000	, 12	,       22.018	, 5	,        2.000	 

5	, 33	,      902.000	,     2720.000	, 4	,       13.403	, 34	,        0.000	 

31	, 34	,      421.000	,     2080.000	, 4	,       14.648	, 26	,        1.000	 

7	, 8	,      447.000	,     2480.000	, 4	,       13.835	, 31	,        2.000	 

6	, 26	,      869.000	,      800.000	, 8	,       18.958	, 10	,        0.000	 

15	, 28	,       35.000	,     4080.000	, 4	,       11.472	, 51	,        1.000	 

30	, 24	,      322.000	,     3600.000	, 4	,       12.076	, 45	,        0.000	 

15	, 22	,      141.000	,     3360.000	, 4	,       12.406	, 42	,        2.000	 

5	, 28	,      547.000	,     3440.000	, 4	,       12.294	, 43	,        1.000	 

20	, 28	,       37.000	,     2320.000	, 4	,       14.144	, 29	,        0.000	 

1	, 32	,      529.000	,     3280.000	, 4	,       12.520	, 41	,        0.000	 

25	, 24	,       40.000	,     4080.000	, 4	,       11.472	, 51	,        1.000	 

14	, 17	,      446.000	,     3760.000	, 4	,       11.867	, 47	,        1.000	 

32	, 21	,      370.000	,     1280.000	, 8	,       16.857	, 16	,        0.000	 

33	, 19	,      393.000	,     2000.000	, 4	,       14.829	, 25	,        0.000	 

11	, 34	,       84.000	,     2160.000	, 4	,       14.475	, 27	,        2.000	 

13	, 19	,      966.000	,     2480.000	, 4	,       13.835	, 31	,        2.000	 

27	, 21	,      944.000	,     2560.000	, 4	,       13.687	, 32	,        1.000	 

4	, 23	,      537.000	,      800.000	, 8	,       18.958	, 10	,        1.000	 

